N1,Z1,N2,Z2,E_ini(MeV),v_ini(c),status,num,E_diss(MeV),integral_Rdot^2(fm*c),fric_ave(MeV/(fm*c))
77,48,77,48,6.0,0.22621385432622335,fission,2,1078.2329693427207,4.605059742800923,234.14092966509705
77,48,77,48,7.0,0.24433888871261045,fission,2,1208.6562031299338,5.302916821359077,227.92290428952438
77,48,77,48,8.0,0.2612092593793357,fission,2,1325.460915081161,5.922123201113001,223.81515380025434
77,48,77,48,9.0,0.2770542579237661,fission,2,1439.6627299151926,6.565135948320395,219.28909640987885
77,48,77,48,10.0,0.29204083016228455,fission,2,1524.2610472215647,7.156745547783064,212.98242854166207
74,49,74,49,1.0,0.09235141930792203,fission,2,29.18123434404515,0.8502775591682471,34.319657186519926
74,49,74,49,2.0,0.13060462968966785,fission,2,298.7052898880404,1.3672253040569773,218.47554240086845
74,49,74,49,3.0,0.15995735039241835,fission,2,530.2059631578238,2.299445020895301,230.57996966215148
74,49,74,49,4.0,0.18470283861584405,fission,2,737.9865349117482,3.066613933256926,240.65192129612566
74,49,74,49,5.0,0.20650405139110023,fission,2,937.2043217858877,3.80551147968655,246.275520856682
74,49,74,49,6.0,0.22621385432622335,fission,2,1051.2876519349743,4.582334499062586,229.42184865597164
74,49,74,49,7.0,0.24433888871261045,fission,2,1161.1158594063331,5.311596452763698,218.6001647023068
74,49,74,49,8.0,0.2612092593793357,fission,2,1261.3183800891466,6.032715793667292,209.07969531950886
74,49,74,49,9.0,0.2770542579237661,fission,2,1362.4503675583637,6.609607069799578,206.13182495879852
74,49,74,49,10.0,0.29204083016228455,fission,2,1458.454434973576,7.199492124544666,202.57740542577736
75,49,75,49,1.0,0.09235141930792203,fission,2,27.970247706157835,0.866214099076092,32.290224479134004
75,49,75,49,2.0,0.13060462968966785,fission,2,305.2536516014376,1.2529034474344571,243.63701147642206
75,49,75,49,3.0,0.15995735039241835,fission,2,537.0023140802992,2.288268975384292,234.6762202595152
75,49,75,49,4.0,0.18470283861584405,fission,2,749.3536687715523,3.056002641786956,245.20714037517257
75,49,75,49,5.0,0.20650405139110023,fission,2,941.4315805607099,3.8137444133528464,246.85230013435853
75,49,75,49,6.0,0.22621385432622335,fission,2,1063.879073206252,4.587558253228065,231.90530004881066
75,49,75,49,7.0,0.24433888871261045,fission,2,1179.2323324852523,5.3008643202868635,222.4603878224592
75,49,75,49,8.0,0.2612092593793357,fission,2,1285.3748777054102,6.012393609339028,213.78754639563888
75,49,75,49,9.0,0.2770542579237661,fission,2,1391.8575912816575,6.587049558690246,211.30212834749207
75,49,75,49,10.0,0.29204083016228455,fission,2,1482.0173958372125,7.1767676290400155,206.5020734181763
76,49,76,49,1.0,0.09235141930792203,fission,2,34.10503155056688,0.7594500479211888,44.90753755815958
76,49,76,49,2.0,0.13060462968966785,fission,2,304.37309831999585,1.1800663141558132,257.92880846508695
76,49,76,49,3.0,0.15995735039241835,fission,2,544.4992525659999,2.2735218523206653,239.4959397510123
76,49,76,49,4.0,0.18470283861584405,fission,2,760.3255878856751,3.045154705260509,249.68373086996584
76,49,76,49,5.0,0.20650405139110023,fission,2,943.6624365700867,3.8247764707075453,246.72355202904672
76,49,76,49,6.0,0.22621385432622335,fission,2,1074.0695353155693,4.592879514286201,233.85536937658924
76,49,76,49,7.0,0.24433888871261045,fission,2,1197.9247708785483,5.289333620479499,226.479336875323
76,49,76,49,8.0,0.2612092593793357,fission,2,1310.634393646693,5.99078489596667,218.77507144833143
76,49,76,49,9.0,0.2770542579237661,fission,2,1422.7558564100657,6.562967166899558,216.78546002572745
76,49,76,49,10.0,0.29204083016228455,fission,2,1506.6952408545906,7.152603615932356,210.64990061778923
77,49,77,49,1.0,0.09235141930792203,fission,2,32.58913089052149,0.36118961945996886,90.22720791158669
77,49,77,49,2.0,0.13060462968966785,fusion,1,not calculated
77,49,77,49,3.0,0.15995735039241835,fission,2,552.164831001796,2.2687693810020275,243.3763588425749
